AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Mahesh Kulkarni,47,2,A1
2,2,Ramesh Shetty,32,1,A1
3,3,Santhosh Kamath,41,2,A1
4,3,Nagaraj Pujari,30,1,A2
5,4,Vidya Swamy,46,1,A1
6,4,Ramesh Rao,34,1,A2
7,6,Chetan Reddy,38,1,A1
8,6,Kiran Gowda,31,1,A2
9,7,Savitha Murthy,45,2,A1
10,7,Yusuf Murthy,25,1,A2
11,10,Vidya Swamy,46,1,A1
12,10,Manjunath Achar,26,2,A2
13,12,Ramesh Desai,26,2,A1
14,12,Nagaraj Reddy,37,1,A2
15,13,Naveen Prasad,37,1,A1
16,14,Ravi Gowda,42,1,A1
17,14,Harish Patil,22,2,A2
18,15,Ramesh Shetty,37,1,A1
19,15,Nagaraj Murthy,47,1,A2
20,17,Nagaraj Murthy,47,1,A1
21,18,Imran Shetty,43,1,A1
22,18,Naveen Prasad,37,1,A2
23,20,Anand Gowda,31,1,A1
24,20,Chetan Reddy,51,2,A2
25,21,Savitha Murthy,45,2,A1
26,21,Naveen Prasad,37,1,A2
27,21,Ramesh Hegde,39,1,A3
28,22,Ananya Kamath,40,1,A1
29,22,Savitha Jadhav,32,1,A2
30,23,Mahesh Prasad,48,1,A1
31,24,Nagaraj Rao,24,2,A1
32,28,Girish Jadhav,36,1,A1
33,30,Naveen Achar,36,1,A1
34,30,Nagaraj Pujari,30,1,A2
35,31,Savitha Jadhav,32,1,A1
36,33,Vidya Swamy,46,1,A1
37,34,Deepa Prasad,28,1,A1
38,34,Anand Bhat,33,2,A2
39,35,Bhavya Kamath,26,1,A1
40,35,Ramesh Desai,26,2,A2
41,36,Vidya Swamy,46,1,A1
42,36,Shwetha Desai,44,1,A2
43,36,Ramesh Rao,34,1,A3
44,37,Kiran Murthy,43,1,A1
45,38,Bhavya Naik,25,2,A1
46,38,Ravi Patil,39,2,A2
47,39,Yusuf Shetty,45,1,A1
48,39,Vinay Kumar,28,1,A2
49,40,Mahesh Kulkarni,42,1,A1
50,41,Shwetha Prasad,25,1,A1
51,41,Shwetha Achar,47,2,A2
52,43,Imran Shetty,43,1,A1
53,43,Yusuf Reddy,48,2,A2
54,44,Mahesh Prasad,48,1,A1
55,44,Lokesh Desai,49,1,A2
56,45,Imran Shetty,43,1,A1
57,45,Ramesh Pujari,24,1,A2
58,46,Ananya Swamy,49,1,A1
59,46,Anand Jadhav,41,2,A2
60,46,Chetan Reddy,38,1,A3
61,47,Ananya Desai,39,2,A1
62,47,Naveen Prasad,37,1,A2
