CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,104500009202500001,202500001,2025-06-17,23,9,1,2,1,2,2,3,2025-06-17 15:22:00,2025-06-17 15:22:00,2025-06-17 15:22:00,12.32479,76.29064,"On 2025-06-17, Basavaraj Hegde, a resident of 77, Colony, Hunsur, reported that entry was gained through an unsecured rear window and the almirah was ransacked. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
2,104500008202600001,202600001,2026-04-20,19,8,1,2,2,5,2,4,2026-04-18 23:03:00,2026-04-19 01:03:00,2026-04-20 23:03:00,12.11239,76.6639,"On 2026-04-18, Santhosh Swamy, a resident of 173, Main Road, Hunsur, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of Nanjangud Police Station in Mysuru district."
3,104500007202500001,202500001,2025-11-20,15,7,1,2,1,2,2,3,2025-11-17 02:03:00,2025-11-17 02:03:00,2025-11-20 02:03:00,12.3201,76.63781,"On 2025-11-17, Ananya Patil, a resident of 117, Main Road, Nanjangud, reported that the lock of the main door was broken open while the house was locked and the family was away. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
4,104430005202500001,202500001,2025-12-15,12,5,1,2,3,6,2,2,2025-12-13 01:05:00,2025-12-13 03:05:00,2025-12-15 01:05:00,13.03346,77.60139,"On 2025-12-13, Mahesh Shetty, a resident of 118, Extension, Peenya, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
5,104300013202600001,202600001,2026-03-27,31,13,1,2,1,3,1,6,2026-03-24 01:09:00,2026-03-24 02:09:00,2026-03-27 01:09:00,17.10753,77.07894,"On 2026-03-24, Prakash Patil, a resident of 61, Layout, Aland, reported that the vehicle was taken from an unattended parking lot after the steering lock was broken. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
6,804500008202400001,202400001,2024-10-14,20,8,8,2,1,3,3,3,2024-10-12 04:14:00,2024-10-12 04:14:00,2024-10-14 04:14:00,12.11448,76.69107,"On 2024-10-12, Manjunath Rao, a resident of 166, Cross Road, Nanjangud, reported that the motorcycle parked outside the residence was stolen during the night. The incident occurred within the limits of Nanjangud Police Station in Mysuru district."
7,104430005202600001,202600001,2026-06-26,13,5,1,1,4,7,1,2,2026-06-26 21:37:00,2026-06-26 23:37:00,2026-06-26 21:37:00,13.02591,77.60391,"On 2026-06-26, Girish Swamy, a resident of 119, Main Road, Yelahanka, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
8,104430003202400001,202400001,2024-07-12,5,3,1,1,4,7,3,1,2024-07-09 08:38:00,2024-07-09 08:38:00,2024-07-12 08:38:00,13.03313,77.59674,"On 2024-07-09, Prakash Kamath, a resident of 169, Main Road, Peenya, reported that a tip-off led to the seizure of contraband from a rented room. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
9,104430005202500002,202500002,2025-07-17,12,5,1,2,3,6,1,2,2025-07-17 19:44:00,2025-07-17 22:44:00,2025-07-17 19:44:00,13.00664,77.61361,"On 2025-07-17, Imran Kulkarni, a resident of 103, Extension, Yelahanka, reported that payment was collected for goods advertised online which were never delivered. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
10,104430002202500001,202500001,2025-08-08,2,2,1,1,4,7,3,1,2025-08-05 23:19:00,2025-08-05 23:19:00,2025-08-08 23:19:00,13.12177,77.59337,"On 2025-08-05, Shwetha Kulkarni, a resident of 163, Main Road, RT Nagar, reported that a tip-off led to the seizure of contraband from a rented room. The incident occurred within the limits of Yelahanka Police Station in Bengaluru North district."
