ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,GenderID
1,1,Basavaraj Hegde,45,3,1
2,2,Santhosh Swamy,50,7,1
3,3,Ananya Patil,29,4,2
4,4,Mahesh Shetty,23,9,1
5,5,Prakash Patil,23,2,1
6,6,Manjunath Rao,50,4,2
7,7,Girish Swamy,21,1,1
8,8,Prakash Kamath,31,9,1
9,9,Imran Kulkarni,30,3,1
10,10,Shwetha Kulkarni,22,7,2
11,11,Suresh Rao,36,8,1
12,12,Yusuf Hegde,46,7,1
13,13,Kavitha Jadhav,25,1,1
14,14,Mahesh Shetty,23,9,1
15,15,Pooja Swamy,48,5,1
16,16,Vidya Jadhav,38,2,1
17,17,Savitha Hegde,45,4,1
18,18,Imran Achar,39,10,2
19,19,Farhan Pujari,26,1,2
20,20,Farhan Rao,45,1,1
21,21,Lokesh Swamy,44,7,1
22,22,Anand Kulkarni,21,5,2
23,23,Roopa Kumar,48,6,1
24,24,Basavaraj Prasad,43,10,1
25,25,Ramesh Kumar,36,8,1
26,26,Rakesh Gowda,41,3,2
27,27,Santhosh Swamy,50,7,1
28,28,Manjunath Rao,50,4,2
29,29,Kavitha Jadhav,25,1,1
30,30,Shwetha Kulkarni,48,9,2
31,31,Ravi Kamath,38,8,1
32,32,Pooja Gowda,24,2,2
33,33,Imran Shetty,32,10,1
34,34,Chetan Rao,25,9,1
35,35,Harish Achar,42,3,1
36,36,Shwetha Kulkarni,22,7,2
37,37,Savitha Jadhav,44,6,2
38,38,Ananya Patil,29,4,2
39,39,Imran Shetty,32,10,1
40,40,Farhan Desai,43,7,1
41,41,Kavitha Reddy,25,7,1
42,42,Girish Patil,22,10,1
43,43,Manjunath Kumar,36,7,1
44,44,Savitha Hegde,31,5,1
45,45,Imran Kulkarni,30,3,1
46,46,Rakesh Bhat,35,4,1
47,47,Ananya Achar,24,8,2
48,48,Ananya Prasad,45,5,1
49,49,Ramesh Bhat,31,6,1
50,50,Farhan Swamy,44,3,1
51,51,Harish Kulkarni,46,6,1
52,52,Manjunath Gowda,33,7,1
53,53,Roopa Kamath,46,6,1
54,54,Naveen Kamath,29,7,1
55,55,Savitha Hegde,31,5,1
56,56,Naveen Bhat,23,3,2
57,57,Kiran Kumar,46,4,1
58,58,Anand Desai,40,7,1
59,59,Deepa Shetty,24,7,1
60,60,Kiran Pujari,45,1,2
61,61,Prakash Desai,31,1,1
62,62,Vinay Prasad,48,1,2
63,63,Suresh Gowda,25,8,2
64,64,Harish Naik,47,8,1
65,65,Farhan Rao,45,1,1
66,66,Ramesh Bhat,31,6,1
67,67,Anand Kulkarni,21,5,2
68,68,Nandini Murthy,25,7,1
69,69,Lakshmi Hegde,40,1,2
70,70,Shwetha Kulkarni,48,9,2
71,71,Vinay Bhat,40,7,1
72,72,Kiran Rao,45,3,1
73,73,Vinay Swamy,49,4,1
74,74,Yusuf Reddy,28,7,1
75,75,Chetan Hegde,22,7,2
76,76,Manjunath Kumar,36,7,1
77,77,Rakesh Patil,27,7,2
78,78,Lokesh Murthy,26,8,2
79,79,Chetan Jadhav,37,3,1
80,80,Prakash Desai,31,1,1
81,81,Ananya Kulkarni,25,9,2
