EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,AppointmentDate
1,443,2,4,2,KG0100012,Roopa Achar,1976-04-17,1,2020-08-13
2,443,2,3,1,KG0100018,Ananya Kulkarni,1985-11-14,1,2015-08-17
3,443,2,3,1,KG0100023,Imran Shetty,1992-04-14,2,2013-01-27
4,443,3,4,2,KG0100028,Ramesh Shetty,1972-07-28,1,2005-08-15
5,443,3,3,1,KG0100036,Nandini Murthy,1973-08-23,1,2019-07-18
6,443,3,3,1,KG0100043,Nandini Jadhav,1970-10-22,2,2007-05-09
7,443,4,4,2,KG0100051,Anand Kulkarni,1986-04-03,1,2007-05-01
8,443,4,3,1,KG0100060,Lakshmi Swamy,1972-12-12,1,2011-09-13
9,443,4,3,1,KG0100065,Harish Shetty,1977-04-03,1,2007-05-11
10,443,4,3,1,KG0100072,Girish Swamy,1995-02-11,2,2000-06-07
11,443,5,4,2,KG0100080,Pooja Swamy,1988-02-09,1,2012-05-19
12,443,5,3,1,KG0100084,Bhavya Shetty,1989-09-16,1,2005-02-23
13,443,5,3,1,KG0100094,Lakshmi Kamath,1993-03-02,1,2016-11-20
14,450,7,4,2,KG0100102,Imran Murthy,1980-07-16,1,2012-03-19
15,450,7,3,1,KG0100109,Santhosh Kulkarni,1971-08-05,2,2006-04-21
16,450,7,3,1,KG0100113,Savitha Shetty,1985-01-20,2,2018-08-22
17,450,7,3,1,KG0100121,Roopa Jadhav,1981-04-05,1,2005-05-05
18,450,8,4,2,KG0100127,Santhosh Achar,1987-06-06,2,2008-01-26
19,450,8,3,1,KG0100137,Chetan Bhat,1990-04-25,1,2004-11-08
20,450,8,3,1,KG0100140,Nagaraj Reddy,1985-02-06,1,2017-10-07
21,450,9,4,2,KG0100147,Farhan Bhat,1995-08-10,1,2016-03-21
22,450,9,3,1,KG0100156,Suresh Achar,1979-12-23,1,2013-08-15
23,450,9,3,1,KG0100163,Ravi Pujari,1993-02-17,1,2009-04-11
24,430,11,4,2,KG0100168,Ramesh Gowda,1970-10-01,1,2005-03-22
25,430,11,3,1,KG0100176,Yusuf Jadhav,1974-08-20,1,2018-09-03
26,430,11,3,1,KG0100182,Suresh Gowda,1976-04-28,1,2015-03-09
27,430,12,4,2,KG0100190,Deepa Desai,1993-05-04,1,2020-08-23
28,430,12,3,1,KG0100197,Nagaraj Prasad,1988-08-24,1,2000-08-17
29,430,12,3,1,KG0100206,Harish Kulkarni,1975-11-12,1,2013-01-18
30,430,13,4,2,KG0100210,Farhan Patil,1975-08-06,1,2019-02-27
31,430,13,3,1,KG0100217,Lakshmi Naik,1979-10-27,1,2000-06-02
32,430,13,3,1,KG0100229,Savitha Bhat,1994-12-21,1,2019-08-11
