VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Vinay Achar,25,2,0
2,2,Santhosh Swamy,50,1,0
3,3,Chetan Hegde,22,2,0
4,4,Shwetha Kulkarni,22,2,0
5,5,Shwetha Desai,23,1,0
6,6,Manjunath Rao,50,2,0
7,7,Girish Swamy,21,1,0
8,8,Prakash Desai,40,1,0
9,9,Girish Swamy,21,1,0
10,10,Shwetha Kulkarni,22,2,0
11,11,Suresh Rao,36,1,0
12,12,Yusuf Hegde,46,1,0
13,13,Kavitha Jadhav,25,1,0
14,14,Mahesh Shetty,23,1,0
15,15,Pooja Swamy,48,1,0
16,16,Vidya Jadhav,38,1,0
17,17,Savitha Hegde,45,1,0
18,18,Imran Achar,39,2,0
19,19,Farhan Pujari,26,2,0
20,20,Santhosh Naik,51,1,0
21,21,Lokesh Swamy,44,1,0
22,22,Anand Kulkarni,21,2,0
23,23,Harish Shetty,32,1,0
24,24,Basavaraj Prasad,43,1,0
25,25,Lakshmi Hegde,40,2,0
26,26,Rakesh Gowda,41,2,0
27,27,Santhosh Swamy,50,1,0
28,28,Manjunath Rao,50,2,0
29,29,Kavitha Jadhav,25,1,0
30,30,Shwetha Kulkarni,48,2,0
31,31,Ravi Kamath,38,1,0
32,32,Pooja Gowda,24,2,0
33,33,Imran Shetty,32,1,0
34,34,Chetan Rao,25,1,0
35,35,Harish Achar,42,1,0
36,36,Shwetha Kulkarni,22,2,0
37,37,Anand Kulkarni,21,2,0
38,38,Ananya Patil,29,2,0
39,39,Yusuf Swamy,40,1,0
40,40,Farhan Desai,43,1,0
41,41,Kavitha Reddy,25,1,0
42,42,Girish Patil,22,1,0
43,43,Manjunath Kumar,36,1,0
44,44,Savitha Hegde,31,1,0
45,45,Imran Kulkarni,30,1,0
46,46,Basavaraj Rao,21,2,0
47,47,Ananya Achar,24,2,0
48,48,Ananya Prasad,45,1,0
49,49,Suresh Prasad,24,2,0
50,50,Farhan Swamy,44,1,0
51,51,Farhan Swamy,44,1,0
52,52,Manjunath Gowda,33,1,0
53,53,Roopa Kamath,46,1,0
54,54,Naveen Kamath,29,1,0
55,55,Savitha Hegde,31,1,0
56,56,Naveen Bhat,23,2,0
57,57,Kiran Kumar,46,1,0
58,58,Anand Desai,40,1,0
59,59,Deepa Shetty,24,1,0
60,60,Deepa Pujari,25,1,0
61,61,Prakash Desai,31,1,0
62,62,Vinay Prasad,48,2,0
63,63,Naveen Bhat,23,2,0
64,64,Harish Naik,47,1,0
65,65,Farhan Rao,45,1,0
66,66,Prakash Kulkarni,39,1,0
67,67,Anand Kulkarni,21,2,0
68,68,Nandini Murthy,25,1,0
69,69,Lakshmi Hegde,40,2,0
70,70,Shwetha Kulkarni,48,2,0
71,71,Pooja Desai,46,1,0
72,72,Kiran Rao,45,1,0
73,73,Vinay Swamy,49,1,0
74,74,Farhan Swamy,44,1,0
75,75,Chetan Hegde,22,2,0
76,76,Nagaraj Murthy,42,2,0
77,77,Rakesh Patil,27,2,0
78,78,Lokesh Murthy,26,2,0
79,79,Chetan Jadhav,37,1,0
80,80,Ravi Murthy,45,2,0
81,81,Ananya Kulkarni,25,2,0
82,82,Nandini Patil,39,1,0
83,83,Shwetha Kulkarni,22,2,0
84,84,Prakash Desai,40,1,0
85,85,Bhavya Jadhav,45,1,0
86,86,Farhan Naik,28,2,0
87,87,Vinay Swamy,51,1,0
88,88,Yusuf Swamy,40,1,0
89,89,Kiran Naik,27,2,0
90,90,Nandini Achar,24,1,0
91,91,Anand Swamy,49,1,0
92,92,Naveen Gowda,43,1,0
93,93,Suresh Rao,36,1,0
94,94,Kiran Naik,27,2,0
95,95,Farhan Pujari,26,2,0
96,96,Umesh Achar,46,1,0
97,97,Farhan Desai,46,1,0
98,98,Nandini Desai,45,1,0
99,99,Savitha Hegde,26,1,0
100,100,Mahesh Achar,47,2,0
101,101,Umesh Achar,46,1,0
102,102,Prakash Bhat,39,1,0
103,103,Mahesh Achar,28,1,0
104,104,Girish Swamy,21,1,0
105,105,Deepa Prasad,44,1,0
106,106,Yusuf Swamy,40,1,0
107,107,Basavaraj Rao,21,2,0
108,108,Shwetha Gowda,27,1,0
109,109,Girish Desai,46,1,0
110,110,Rakesh Gowda,41,2,0
111,111,Kavitha Jadhav,25,1,0
112,112,Prakash Patil,23,1,0
113,113,Pooja Naik,26,2,0
114,114,Suresh Gowda,25,2,0
115,115,Ananya Rao,27,2,0
116,116,Ananya Prasad,45,1,0
117,117,Savitha Desai,42,1,0
118,118,Yusuf Hegde,46,1,0
119,119,Nandini Achar,24,1,0
120,120,Lokesh Shetty,50,1,0
121,121,Bhavya Kumar,31,2,0
122,122,Kiran Naik,37,1,0
123,123,Prakash Bhat,35,1,0
124,124,Kiran Rao,45,1,0
125,125,Deepa Pujari,25,1,0
126,126,Harish Bhat,25,1,0
127,127,Mahesh Desai,32,1,0
128,128,Vinay Swamy,51,1,0
129,129,Vinay Prasad,48,2,0
130,130,Ananya Desai,40,1,0
131,131,Deepa Pujari,28,1,0
132,132,Roopa Swamy,34,2,0
133,133,Ananya Kulkarni,25,2,0
134,134,Farhan Rao,46,1,0
135,135,Imran Rao,34,1,0
136,136,Savitha Hegde,31,1,0
137,137,Bhavya Desai,45,1,0
138,138,Harish Bhat,25,1,0
139,139,Mahesh Shetty,23,1,0
140,140,Prakash Swamy,45,1,0
141,141,Umesh Desai,30,1,0
142,142,Shwetha Gowda,24,1,0
143,143,Ravi Kamath,38,1,0
144,144,Girish Desai,46,1,0
145,145,Prakash Swamy,47,1,0
146,146,Kavitha Gowda,25,1,0
147,147,Pooja Swamy,48,1,0
148,148,Umesh Achar,46,1,0
149,149,Anand Desai,40,1,0
150,150,Nagaraj Desai,50,1,0
151,151,Nandini Desai,45,1,0
152,152,Kavitha Pujari,35,2,0
153,153,Rakesh Swamy,46,1,0
154,154,Basavaraj Jadhav,29,1,0
155,155,Harish Kulkarni,46,1,0
156,156,Kavitha Swamy,47,1,0
157,157,Girish Achar,23,1,0
158,158,Nandini Murthy,25,1,0
159,159,Roopa Kumar,48,1,0
160,160,Prakash Kamath,31,1,0
161,161,Ravi Murthy,45,2,0
162,162,Farhan Swamy,44,1,0
163,163,Lokesh Shetty,50,1,0
164,164,Girish Swamy,23,1,0
165,165,Pooja Kulkarni,38,1,0
166,166,Roopa Kamath,46,1,0
167,167,Anand Prasad,44,1,0
168,168,Lakshmi Reddy,42,1,0
169,169,Kiran Pujari,45,2,0
170,170,Nandini Desai,45,1,0
171,171,Roopa Kamath,46,1,0
172,172,Basavaraj Jadhav,29,1,0
173,173,Prakash Desai,40,1,0
174,174,Kiran Pujari,45,2,0
175,175,Ramesh Achar,27,1,0
176,176,Bhavya Desai,45,1,0
177,177,Imran Shetty,32,1,0
178,178,Lakshmi Reddy,42,1,0
179,179,Rakesh Bhat,35,1,0
180,180,Shwetha Desai,38,1,0
181,181,Harish Bhat,28,1,0
182,182,Shivakumar Reddy,37,1,0
183,183,Mahesh Reddy,34,2,0
184,184,Prakash Bhat,35,1,0
185,185,Kavitha Jadhav,25,1,0
186,186,Savitha Hegde,31,1,0
187,187,Lokesh Swamy,44,2,0
188,188,Anand Desai,40,1,0
189,189,Rakesh Achar,30,2,0
190,190,Bhavya Desai,45,1,0
191,191,Ananya Patil,29,2,0
192,192,Mahesh Reddy,34,2,0
193,193,Nagaraj Desai,50,1,0
194,194,Naveen Kamath,29,1,0
195,195,Suresh Rao,36,1,0
196,196,Naveen Rao,21,1,0
197,197,Mahesh Shetty,23,1,0
198,198,Roopa Kamath,46,1,0
199,199,Girish Swamy,21,1,0
200,200,Anand Naik,48,2,0
201,201,Vinay Prasad,48,2,0
202,202,Yusuf Reddy,28,1,0
203,203,Chetan Jadhav,37,1,0
204,204,Shivakumar Hegde,39,1,0
205,205,Mahesh Shetty,23,1,0
206,206,Anand Bhat,35,1,0
207,207,Vinay Patil,30,1,0
208,208,Lokesh Swamy,44,1,0
209,209,Chetan Bhat,51,1,0
210,210,Lokesh Murthy,26,2,0
211,211,Pooja Jadhav,47,1,0
212,212,Kiran Pujari,45,2,0
213,213,Harish Achar,42,1,0
214,214,Anand Desai,40,1,0
215,215,Basavaraj Hegde,45,1,0
216,216,Imran Patil,22,2,0
217,217,Kiran Naik,27,2,0
218,218,Kiran Naik,37,1,0
219,219,Girish Reddy,22,1,0
220,220,Roopa Kamath,46,1,0
221,221,Savitha Desai,42,1,0
222,222,Naveen Gowda,43,1,0
223,223,Bhavya Hegde,26,1,0
224,224,Harish Kulkarni,46,1,0
225,225,Shwetha Kulkarni,22,2,0
226,226,Ramesh Kulkarni,49,2,0
227,227,Ravi Kamath,38,1,0
228,228,Anand Prasad,44,1,0
229,229,Santhosh Patil,21,1,0
230,230,Nagaraj Murthy,42,2,0
231,231,Shwetha Reddy,48,1,0
232,232,Imran Kulkarni,30,1,0
233,233,Naveen Bhat,23,2,0
234,234,Lakshmi Reddy,42,1,0
235,235,Santhosh Bhat,32,1,0
236,236,Farhan Desai,25,1,0
237,237,Yusuf Reddy,28,1,0
238,238,Mahesh Reddy,34,2,0
239,239,Naveen Gowda,43,1,0
240,240,Kiran Shetty,44,1,0
241,241,Prakash Kamath,31,1,0
242,242,Prakash Murthy,41,1,0
243,243,Naveen Gowda,43,1,0
244,244,Suresh Reddy,32,1,0
245,245,Imran Rao,34,1,0
246,246,Anand Desai,40,1,0
247,247,Umesh Gowda,33,2,0
248,248,Ravi Naik,22,1,0
249,249,Deepa Pujari,25,1,0
250,250,Kavitha Hegde,48,1,0
251,251,Anand Prasad,44,1,0
252,252,Mahesh Achar,28,1,0
253,253,Ramesh Achar,50,1,0
254,254,Ananya Kulkarni,21,1,0
255,255,Rakesh Bhat,35,1,0
256,256,Roopa Prasad,44,1,0
257,257,Kavitha Reddy,25,1,0
258,258,Nagaraj Murthy,27,1,0
259,259,Chetan Hegde,27,1,0
260,260,Kavitha Patil,38,1,0
261,261,Nagaraj Hegde,47,1,0
262,262,Ramesh Gowda,43,1,0
263,263,Santhosh Patil,21,1,0
264,264,Nandini Desai,45,1,0
265,265,Ravi Kamath,38,1,0
266,266,Lakshmi Kamath,50,1,0
267,267,Basavaraj Patil,32,1,0
268,268,Deepa Prasad,44,1,0
269,269,Naveen Gowda,43,1,0
270,270,Rakesh Swamy,46,1,0
271,271,Kavitha Pujari,35,2,0
272,272,Yusuf Swamy,40,1,0
273,273,Anand Hegde,32,1,0
274,274,Nandini Bhat,42,1,0
275,275,Roopa Swamy,34,2,0
276,276,Deepa Pujari,25,2,0
277,277,Anand Jadhav,46,1,0
278,278,Roopa Kumar,48,1,0
279,279,Anand Kamath,44,2,0
280,280,Anand Kulkarni,21,2,0
281,281,Manjunath Gowda,33,1,0
282,282,Basavaraj Swamy,44,1,0
283,283,Shivakumar Naik,47,1,0
284,284,Savitha Shetty,51,1,0
285,285,Yusuf Kamath,25,1,0
286,286,Bhavya Achar,45,1,0
287,287,Harish Naik,47,1,0
288,288,Santhosh Naik,51,1,0
289,289,Harish Kulkarni,46,1,0
290,290,Kiran Naik,37,1,0
291,291,Suresh Prasad,24,2,0
292,292,Vinay Patil,30,1,0
293,293,Vinay Jadhav,31,2,0
294,294,Vinay Hegde,34,1,0
295,295,Farhan Desai,46,1,0
296,296,Lokesh Murthy,26,2,0
297,297,Rakesh Patil,27,2,0
298,298,Ramesh Achar,27,1,0
299,299,Roopa Kamath,46,1,0
300,300,Naveen Rao,47,1,0
