id,person_id,type,value,verified
AT-00001,P-0001,phone,9440492050,1
AT-00002,P-0002,phone,9655340274,1
AT-00003,P-0003,phone,9709264774,1
AT-00004,P-0003,vehicle,KA34AB9294,1
AT-00005,P-0004,phone,9786950996,1
AT-00006,P-0004,vehicle,KA01AB2759,1
AT-00007,P-0005,phone,9889372451,1
AT-00008,P-0005,vehicle,KA39PL7376,1
AT-00009,P-0006,phone,9325011233,1
AT-00010,P-0007,phone,9366036513,1
AT-00011,P-0007,vehicle,KA14MJ7326,1
AT-00012,P-0008,phone,9259006216,1
AT-00013,P-0008,vehicle,KA05AB6510,1
AT-00014,P-0009,phone,9283674963,1
AT-00015,P-0010,phone,9656397794,1
AT-00016,P-0010,vehicle,KA26PL3392,1
AT-00017,P-0011,phone,9769797647,1
AT-00018,P-0011,vehicle,KA10AB8756,1
AT-00019,P-0012,phone,9525262368,1
AT-00020,P-0012,vehicle,KA32PL9001,1
AT-00021,P-0013,phone,9657441241,1
AT-00022,P-0013,vehicle,KA18CZ4901,1
AT-00023,P-0014,phone,9589604195,1
AT-00024,P-0015,phone,9227840823,1
AT-00025,P-0016,phone,9877643309,1
AT-00026,P-0016,vehicle,KA47MJ8559,1
AT-00027,P-0017,phone,9910186106,1
AT-00028,P-0017,vehicle,KA42PL2998,1
AT-00029,P-0018,phone,9701290259,1
AT-00030,P-0018,vehicle,KA48MJ9753,1
AT-00031,P-0019,phone,9119041681,1
AT-00032,P-0019,vehicle,KA04HG8647,1
AT-00033,P-0020,phone,9511886344,1
AT-00034,P-0020,vehicle,KA10CZ8116,1
AT-00035,P-0021,phone,9103772055,1
AT-00036,P-0021,vehicle,KA29PL2751,1
AT-00037,P-0022,phone,9688663869,1
AT-00038,P-0022,vehicle,KA36AB2321,1
AT-00039,P-0023,phone,9166377924,1
AT-00040,P-0023,vehicle,KA50PL1801,1
AT-00041,P-0024,phone,9651168991,1
AT-00042,P-0025,phone,9570639440,1
AT-00043,P-0026,phone,9572965244,1
AT-00044,P-0027,phone,9139898714,1
AT-00045,P-0028,phone,9894856600,1
AT-00046,P-0029,phone,9686009364,1
AT-00047,P-0029,vehicle,KA29CZ7979,1
AT-00048,P-0030,phone,9775690595,1
AT-00049,P-0030,vehicle,KA09AB6530,1
AT-00050,P-0031,phone,9491861596,1
AT-00051,P-0032,phone,9992979551,1
AT-00052,P-0032,vehicle,KA37CZ4189,1
AT-00053,P-0033,phone,9371068591,1
AT-00054,P-0033,vehicle,KA21PL4383,1
AT-00055,P-0034,phone,9618279201,1
AT-00056,P-0035,phone,9852671323,1
AT-00057,P-0035,vehicle,KA46MJ8471,1
AT-00058,P-0036,phone,9775340473,1
AT-00059,P-0036,vehicle,KA10PL2412,1
AT-00060,P-0037,phone,9380013848,1
AT-00061,P-0037,vehicle,KA33CZ1128,1
AT-00062,P-0038,phone,9218721135,1
AT-00063,P-0038,vehicle,KA04PL3467,1
AT-00064,P-0039,phone,9983428347,1
AT-00065,P-0040,phone,9607421219,1
AT-00066,P-0041,phone,9234705518,1
AT-00067,P-0041,vehicle,KA44AB7482,1
AT-00068,P-0042,phone,9116447686,1
AT-00069,P-0042,vehicle,KA04HG2151,1
AT-00070,P-0043,phone,9633433903,1
AT-00071,P-0043,vehicle,KA45MJ7172,1
AT-00072,P-0044,phone,9169402947,1
AT-00073,P-0045,phone,9827499745,1
AT-00074,P-0045,vehicle,KA17PL2581,1
AT-00075,P-0046,phone,9710524482,1
AT-00076,P-0046,vehicle,KA48AB3103,1
AT-00077,P-0047,phone,9286039375,1
AT-00078,P-0048,phone,9404645879,1
AT-00079,P-0048,vehicle,KA36MJ7943,1
AT-00080,P-0049,phone,9884743604,1
AT-00081,P-0049,vehicle,KA12HG7266,1
AT-00082,P-0050,phone,9153620398,1
AT-00083,P-0050,vehicle,KA25AB1729,1
AT-00084,P-0051,phone,9609808850,1
AT-00085,P-0051,vehicle,KA38PL7719,1
AT-00086,P-0052,phone,9680102273,1
AT-00087,P-0052,vehicle,KA09CZ8384,1
AT-00088,P-0053,phone,9828657451,1
AT-00089,P-0054,phone,9532691830,1
AT-00090,P-0054,vehicle,KA35HG6419,1
AT-00091,P-0055,phone,9135774827,1
AT-00092,P-0055,vehicle,KA42HG8165,1
AT-00093,P-0056,phone,9621949965,1
AT-00094,P-0057,phone,9444767500,1
AT-00095,P-0057,vehicle,KA50CZ6796,1
AT-00096,P-0058,phone,9327410412,1
