person_id,full_name,aliases,gender,dob,age_band,address,city,district,taluk,socio_econ_band,occupation,is_offender
P-0001,Umesh Hegde,,M,2003-04-27,18-24,"12, Extension, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,delivery rider,1
P-0002,Anand Murthy,,F,1978-01-28,45+,"68, Layout, Hebbal",Hebbal,Bengaluru North,Hebbal,low,construction worker,1
P-0003,Prakash Achar,,M,1991-08-09,35-44,"136, Colony, Peenya",Peenya,Bengaluru North,Peenya,middle,auto driver,1
P-0004,Deepa Prasad,,M,1998-07-08,25-34,"147, Cross Road, Aland",Aland,Kalaburagi,Aland,middle,auto driver,1
P-0005,Basavaraj Bhat,Bappa,M,1975-08-26,45+,"174, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,auto driver,1
P-0006,Chetan Pujari,,M,1991-02-13,35-44,"161, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,construction worker,1
P-0007,Imran Kulkarni,,F,2003-09-23,18-24,"105, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,auto driver,1
P-0008,Ananya Desai,,F,1996-09-01,25-34,"34, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,daily wage labourer,1
P-0009,Prakash Gowda,Pu,F,1976-09-24,45+,"168, Cross Road, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,private security guard,1
P-0010,Vinay Murthy,Vu,M,1985-01-23,35-44,"93, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,shop assistant,1
P-0011,Prakash Patil,,M,1983-11-22,35-44,"31, Cross Road, Aland",Aland,Kalaburagi,Aland,middle,private security guard,1
P-0012,Vinay Rao,,M,1999-05-20,25-34,"8, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,farm labourer,1
P-0013,Lakshmi Kamath,,M,1993-12-06,25-34,"95, Cross Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,daily wage labourer,1
P-0014,Girish Prasad,,F,1983-02-16,35-44,"159, Layout, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,shop assistant,1
P-0015,Roopa Murthy,,F,1988-12-01,35-44,"48, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,daily wage labourer,1
P-0016,Imran Rao,,M,1985-06-24,35-44,"154, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,delivery rider,1
P-0017,Deepa Patil,Danna,M,1980-02-09,45+,"114, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,unemployed,1
P-0018,Yusuf Patil,,M,1998-06-26,25-34,"29, Layout, Hunsur",Hunsur,Mysuru,Hunsur,low,daily wage labourer,1
P-0019,Deepa Achar,,F,1994-03-21,25-34,"178, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,farm labourer,1
P-0020,Ramesh Swamy,Ranna,F,1993-10-24,25-34,"170, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,farm labourer,1
P-0021,Santhosh Rao,,M,2003-09-14,18-24,"45, Main Road, Peenya",Peenya,Bengaluru North,Peenya,middle,shop assistant,1
P-0022,Prakash Patil,Panna,F,1985-06-12,35-44,"144, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,street vendor,1
P-0023,Santhosh Desai,,M,1983-01-11,35-44,"154, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,delivery rider,1
P-0024,Girish Shetty,Ganna,F,1986-10-19,35-44,"170, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,shop assistant,1
P-0025,Anand Murthy,Aanna,M,2001-04-16,25-34,"138, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,auto driver,1
P-0026,Mahesh Gowda,,M,1984-12-14,35-44,"129, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,daily wage labourer,1
P-0027,Yusuf Gowda,,M,1987-12-05,35-44,"134, Extension, Chittapur",Chittapur,Kalaburagi,Chittapur,low,daily wage labourer,1
P-0028,Ramesh Jadhav,,M,2000-12-12,25-34,"5, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,auto driver,1
P-0029,Naveen Kumar,Nu,F,1979-02-05,45+,"73, Cross Road, Aland",Aland,Kalaburagi,Aland,low,mechanic,1
P-0030,Harish Reddy,,M,1982-02-18,35-44,"60, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,mechanic,1
P-0031,Basavaraj Kamath,Banna,M,1977-03-11,45+,"22, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,shop assistant,1
P-0032,Harish Rao,,M,1987-12-12,35-44,"130, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,street vendor,1
P-0033,Lakshmi Bhat,,M,1996-09-14,25-34,"27, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,1
P-0034,Shwetha Kamath,,M,2005-02-10,18-24,"6, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,unemployed,1
P-0035,Ananya Bhat,Aappa,M,1997-10-12,25-34,"142, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,farm labourer,1
P-0036,Naveen Jadhav,,F,1986-10-14,35-44,"67, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,street vendor,1
P-0037,Lakshmi Murthy,Lu,M,2002-03-22,18-24,"15, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,daily wage labourer,1
