person_id,full_name,aliases,gender,dob,age_band,address,district,socio_econ_band,occupation,is_offender
P-0001,Bhavya Reddy,,F,1985-12-17,35-44,"68, Extension, Chittapur",Kalaburagi,lower-middle,Construction Worker,1
P-0002,Girish Patil,Gappa,M,1981-10-05,45+,"122, Layout, Nanjangud",Mysuru,middle,Shop Assistant,1
P-0003,Vinay Kumar,Vappa,M,1998-06-09,25-34,"57, Cross Road, Peenya",Bengaluru North,lower-middle,Farm Labourer,1
P-0004,Vinay Reddy,,M,2004-11-15,18-24,"174, Layout, Hunsur",Mysuru,low,Street Vendor,1
P-0005,Chetan Reddy,,F,1975-08-28,45+,"165, Layout, Hunsur",Mysuru,lower-middle,Private Security Guard,1
P-0006,Umesh Shetty,Uanna,M,2005-05-10,18-24,"159, Extension, Krishnaraja",Mysuru,low,Unemployed,1
P-0007,Chetan Murthy,,M,1980-04-06,45+,"173, Cross Road, Krishnaraja",Mysuru,middle,Farm Labourer,1
P-0008,Ramesh Murthy,,M,1977-03-09,45+,"85, Extension, Hunsur",Mysuru,lower-middle,Daily Wage Labourer,1
P-0009,Rakesh Rao,Rappa,M,1976-09-04,45+,"49, Extension, Aland",Kalaburagi,lower-middle,Unemployed,1
P-0010,Shwetha Prasad,,M,2001-11-05,25-34,"73, Extension, Hebbal",Bengaluru North,low,Unemployed,1
P-0011,Savitha Jadhav,,M,1994-06-20,25-34,"107, Colony, Chittapur",Kalaburagi,lower-middle,Unemployed,1
P-0012,Bhavya Naik,,F,2001-12-09,25-34,"91, Colony, Nanjangud",Mysuru,middle,Mechanic,1
P-0013,Harish Patil,Hanna,F,2004-09-17,18-24,"152, Layout, Peenya",Bengaluru North,lower-middle,Auto Driver,1
P-0014,Pooja Shetty,Pappa,F,1988-09-20,35-44,"179, Layout, Hebbal",Bengaluru North,lower-middle,Street Vendor,1
P-0015,Yusuf Kamath,,M,1980-01-17,45+,"142, Layout, Kalaburagi City",Kalaburagi,middle,Street Vendor,1
P-0016,Mahesh Prasad,,M,1978-06-02,45+,"113, Extension, Yelahanka",Bengaluru North,low,Farm Labourer,1
P-0017,Naveen Hegde,Nu,F,1999-08-14,25-34,"56, Layout, Nanjangud",Mysuru,lower-middle,Unemployed,1
P-0018,Umesh Pujari,,F,1984-06-24,35-44,"107, Main Road, Hunsur",Mysuru,middle,Farm Labourer,1
P-0019,Mahesh Rao,,F,1985-07-25,35-44,"156, Layout, Hunsur",Mysuru,middle,Street Vendor,1
P-0020,Yusuf Reddy,,F,1978-08-04,45+,"13, Cross Road, Hebbal",Bengaluru North,low,Auto Driver,1
P-0021,Manjunath Achar,,F,2000-07-14,25-34,"142, Main Road, RT Nagar",Bengaluru North,low,Delivery Rider,1
P-0022,Umesh Achar,,M,2000-06-11,25-34,"175, Extension, Nanjangud",Mysuru,middle,Construction Worker,1
P-0023,Girish Jadhav,,M,1990-05-22,35-44,"85, Main Road, Krishnaraja",Mysuru,lower-middle,Unemployed,1
P-0024,Kiran Desai,,M,1984-05-19,35-44,"122, Main Road, Kalaburagi City",Kalaburagi,middle,Shop Assistant,1
P-0025,Ramesh Hegde,Rappa,M,1987-05-14,35-44,"132, Cross Road, RT Nagar",Bengaluru North,middle,Street Vendor,1
P-0026,Shwetha Desai,,M,1982-08-24,35-44,"113, Cross Road, Hebbal",Bengaluru North,middle,Daily Wage Labourer,1
P-0027,Kiran Achar,,M,1993-06-20,25-34,"92, Layout, Hunsur",Mysuru,middle,Mechanic,1
P-0028,Girish Reddy,Gu,M,1981-02-13,45+,"139, Extension, Nanjangud",Mysuru,lower-middle,Shop Assistant,1
P-0029,Imran Reddy,,M,1984-03-09,35-44,"45, Main Road, Aland",Kalaburagi,middle,Shop Assistant,1
P-0030,Kiran Murthy,,M,1983-07-09,35-44,"7, Extension, Chittapur",Kalaburagi,low,Shop Assistant,1
P-0031,Yusuf Shetty,Yu,M,1981-09-16,45+,"120, Main Road, RT Nagar",Bengaluru North,middle,Farm Labourer,1
P-0032,Santhosh Kamath,,F,1985-05-27,35-44,"137, Colony, Nanjangud",Mysuru,lower-middle,Construction Worker,1
P-0033,Lokesh Pujari,Lu,M,1992-08-01,25-34,"64, Extension, Aland",Kalaburagi,low,Construction Worker,1
P-0034,Santhosh Pujari,,M,1981-06-05,45+,"24, Cross Road, Chittapur",Kalaburagi,low,Street Vendor,1
P-0035,Mahesh Kulkarni,,M,1984-07-13,35-44,"71, Cross Road, Aland",Kalaburagi,low,Private Security Guard,1
P-0036,Yusuf Kamath,,M,1975-11-05,45+,"40, Colony, Nanjangud",Mysuru,low,Mechanic,1
P-0037,Kavitha Rao,Ku,F,1998-07-11,25-34,"22, Main Road, Nanjangud",Mysuru,low,Street Vendor,1
P-0038,Nagaraj Reddy,Nanna,M,1989-04-03,35-44,"32, Extension, Kalaburagi City",Kalaburagi,low,Construction Worker,1
P-0039,Nagaraj Murthy,,M,1979-02-09,45+,"155, Extension, Kalaburagi City",Kalaburagi,low,Mechanic,1
P-0040,Shwetha Kamath,,M,1994-06-23,25-34,"51, Extension, Hunsur",Mysuru,middle,Daily Wage Labourer,1
P-0041,Deepa Prasad,Danna,M,1998-04-04,25-34,"165, Layout, Hebbal",Bengaluru North,lower-middle,Private Security Guard,1
